Municipality,Percentage of Patients in Treatment Listing Heroin as their Primary Substance of Use in Fiscal Year 2000,Percentage of Patients in Treatment Listing Heroin as their Primary Substance of Use in Fiscal Year 2005,Percentage of Patients in Treatment Listing Heroin as their Primary Substance of Use in Fiscal Year 2010,Percentage of Patients in Treatment Listing Heroin as their Primary Substance of Use in Fiscal Year 2015
Abington,20.6%,38.7%,45.1%,57.4%
Acton,16.2%,Not Available,Not Available,36.3%
Acushnet,31.3%,48.4%,33.3%,61.0%
Adams,8.0%,11.4%,17.6%,30.0%
Agawam,28.1%,37.9%,40.1%,49.9%
Alford,Not Available,Not Available,Not Available,Not Available
Amesbury,30.2%,26.7%,28.6%,55.2%
Amherst,20.7%,14.5%,10.9%,50.0%
Andover,25.4%,21.5%,15.2%,34.1%
Aquinnah,Not Available,Not Available,Not Available,Not Available
Arlington,30.2%,32.0%,41.8%,47.6%
Ashburnham,20.0%,46.5%,Not Available,40.0%
Ashby,31.0%,58.6%,31.8%,Not Available
Ashfield,Not Available,Not Available,Not Available,Not Available
Ashland,20.6%,30.8%,20.5%,35.1%
Athol,7.9%,26.2%,23.4%,58.8%
Attleboro,21.9%,22.9%,22.0%,49.7%
Auburn,28.9%,17.7%,26.5%,44.4%
Avon,21.1%,18.9%,36.9%,68.1%
Ayer,24.4%,24.7%,40.0%,29.9%
Barnstable,22.2%,17.0%,17.5%,39.5%
Barre,32.5%,12.1%,29.4%,44.8%
Becket,Not Available,Not Available,21.4%,33.3%
Bedford,12.3%,18.5%,39.2%,42.5%
Belchertown,20.2%,16.5%,14.2%,52.5%
Bellingham,19.2%,18.0%,24.2%,41.5%
Belmont,23.9%,22.6%,37.1%,32.4%
Berkley,45.5%,28.1%,43.4%,43.0%
Berlin,Not Available,Not Available,26.1%,Not Available
Bernardston,Not Available,Not Available,Not Available,Not Available
Beverly,16.7%,20.7%,37.4%,41.4%
Billerica,30.3%,34.4%,47.7%,53.5%
Blackstone,44.8%,12.7%,15.3%,24.3%
Blandford,34.8%,44.4%,Not Available,58.3%
Bolton,34.5%,52.0%,29.2%,38.1%
Boston,35.1%,48.7%,50.0%,57.7%
Bourne,5.7%,17.7%,21.8%,42.1%
Boxborough,Not Available,26.3%,Not Available,Not Available
Boxford,33.3%,43.9%,27.5%,23.1%
Boylston,40.6%,23.1%,32.5%,50.0%
Braintree,27.8%,37.1%,55.0%,60.0%
Brewster,12.2%,25.2%,21.3%,31.1%
Bridgewater,20.8%,30.7%,31.1%,55.2%
Brimfield,Not Available,31.8%,42.4%,Not Available
Brockton,26.0%,31.3%,40.6%,54.2%
Brookfield,23.6%,22.4%,34.2%,46.0%
Brookline,22.2%,18.1%,21.3%,35.7%
Buckland,Not Available,Not Available,Not Available,Not Available
Burlington,46.8%,35.4%,30.4%,63.5%
Cambridge,30.5%,36.2%,40.0%,46.2%
Canton,28.0%,33.3%,46.9%,42.0%
Carlisle,Not Available,48.6%,Not Available,Not Available
Carver,15.1%,26.1%,42.1%,65.5%
Charlemont,27.3%,Not Available,Not Available,71.4%
Charlton,36.3%,30.8%,32.1%,56.0%
Chatham,12.6%,22.4%,23.5%,37.7%
Chelmsford,42.9%,29.9%,37.7%,43.8%
Chelsea,47.2%,44.3%,49.1%,49.7%
Cheshire,15.1%,33.3%,12.0%,27.3%
Chester,33.9%,Not Available,Not Available,Not Available
Chesterfield,28.6%,Not Available,Not Available,Not Available
Chicopee,34.6%,35.7%,36.8%,54.8%
Chilmark,Not Available,Not Available,Not Available,Not Available
Clarksburg,Not Available,17.1%,Not Available,50.0%
Clinton,50.0%,32.6%,39.3%,63.7%
Cohasset,24.5%,24.2%,30.8%,55.8%
Colrain,Not Available,Not Available,Not Available,Not Available
Concord,Not Available,Not Available,23.3%,23.5%
Conway,Not Available,Not Available,Not Available,Not Available
Cummington,Not Available,Not Available,Not Available,Not Available
Dalton,15.2%,15.3%,15.0%,48.1%
Danvers,35.5%,34.2%,43.4%,45.6%
Dartmouth,33.3%,33.2%,35.9%,60.7%
Dedham,34.4%,28.3%,40.9%,51.3%
Deerfield,Not Available,14.0%,Not Available,54.4%
Dennis,19.5%,25.6%,16.5%,41.4%
Dighton,32.6%,Not Available,24.3%,38.9%
Douglas,Not Available,25.7%,37.3%,31.5%
Dover,Not Available,Not Available,Not Available,Not Available
Dracut,30.5%,26.4%,35.7%,65.5%
Dudley,31.5%,21.3%,25.7%,48.4%
Dunstable,Not Available,36.4%,35.3%,69.2%
Duxbury,18.8%,12.4%,40.0%,33.6%
Eastbridgewater,10.5%,28.9%,38.1%,61.5%
Eastbrookfield,31.6%,Not Available,33.3%,53.2%
Eastham,16.4%,Not Available,11.4%,28.3%
Easthampton,19.7%,22.3%,18.7%,51.1%
Eastlongmeadow,16.1%,25.0%,27.7%,48.5%
Easton,22.0%,18.6%,28.1%,48.9%
Edgartown,6.5%,11.4%,20.5%,12.3%
Egremont,Not Available,Not Available,Not Available,Not Available
Erving,Not Available,Not Available,Not Available,44.4%
Essex,30.3%,39.2%,Not Available,36.7%
Everett,43.5%,50.2%,63.0%,55.3%
Fairhaven,43.1%,30.9%,36.3%,53.6%
Fallriver,54.9%,41.1%,47.7%,61.6%
Falmouth,18.2%,23.4%,23.7%,53.4%
Fitchburg,56.6%,52.3%,46.2%,62.7%
Florida,Not Available,Not Available,Not Available,Not Available
Foxborough,32.6%,14.0%,16.8%,53.0%
Framingham,29.0%,33.2%,33.0%,39.3%
Franklin,12.4%,26.1%,30.3%,52.2%
Freetown,35.1%,21.2%,37.4%,47.6%
Gardner,31.1%,46.3%,35.1%,55.4%
Georgetown,14.6%,Not Available,22.6%,46.0%
Gill,Not Available,Not Available,Not Available,Not Available
Gloucester,44.6%,38.7%,47.8%,39.0%
Goshen,Not Available,Not Available,Not Available,Not Available
Grafton,29.4%,41.7%,27.7%,56.4%
Granby,31.3%,Not Available,59.2%,52.2%
Granville,Not Available,Not Available,Not Available,66.7%
Greatbarrington,12.3%,12.6%,19.4%,25.7%
Greenfield,11.0%,20.2%,11.3%,51.2%
Groton,23.0%,17.0%,48.9%,54.8%
Groveland,18.0%,19.4%,10.9%,22.0%
Hadley,47.5%,25.8%,18.6%,39.4%
Halifax,18.2%,30.1%,22.8%,53.6%
Hamilton,Not Available,Not Available,26.8%,34.6%
Hampden,28.0%,16.0%,19.1%,29.2%
Hancock,Not Available,Not Available,Not Available," -9999,"
Hanover,20.2%,27.3%,52.5%,49.2%
Hanson,13.3%,23.9%,46.7%,60.6%
Hardwick,Not Available,Not Available,Not Available,46.2%
Harvard,48.7%,56.7%,Not Available,52.4%
Harwich,10.5%,22.4%,11.7%,36.8%
Hatfield,Not Available,Not Available,20.0%,48.3%
Haverhill,30.1%,29.2%,36.0%,54.5%
Hawley,Not Available,Not Available,Not Available,Not Available
Heath,Not Available,Not Available,Not Available,Not Available
Hingham,30.3%,41.4%,42.5%,33.9%
Hinsdale,33.3%,22.0%,13.6%,57.1%
Holbrook,11.8%,35.8%,47.3%,65.1%
Holden,35.6%,19.2%,16.1%,49.0%
Holland,20.7%,Not Available,26.1%,34.3%
Holliston,17.3%,11.7%,Not Available,30.1%
Holyoke,51.3%,48.6%,44.1%,68.0%
Hopedale,29.8%,33.3%,26.4%,48.1%
Hopkinton,22.6%,29.0%,19.4%,31.3%
Hubbardston,31.0%,Not Available,50.0%,38.2%
Hudson,28.0%,30.5%,23.8%,55.0%
Hull,22.0%,20.8%,44.3%,51.9%
Huntington,25.0%,37.9%,36.4%,46.2%
Ipswich,13.8%,9.2%,38.8%,38.5%
Kingston,18.4%,11.8%,23.1%,47.1%
Lakeville,26.0%,20.0%,19.4%,50.0%
Lancaster,53.9%,Not Available,39.3%,52.8%
Lanesborough,22.2%,19.5%,11.9%,35.6%
Lawrence,55.8%,45.6%,39.0%,63.4%
Lee,18.3%,37.6%,16.2%,43.8%
Leicester,27.1%,22.9%,37.4%,40.0%
Lenox,14.0%,Not Available,Not Available,26.1%
Leominster,42.6%,37.0%,25.3%,59.7%
Leverett,Not Available,Not Available,Not Available,Not Available
Lexington,19.3%,7.8%,30.8%,48.8%
Leyden,Not Available,Not Available,Not Available,Not Available
Lincoln,Not Available,Not Available,Not Available,Not Available
Littleton,27.9%,14.3%,35.0%,26.1%
Longmeadow,20.3%,20.0%,40.6%,35.2%
Lowell,53.9%,53.5%,43.4%,54.6%
Ludlow,32.1%,30.6%,22.1%,38.2%
Lunenburg,22.4%,39.8%,17.3%,64.6%
Lynn,36.1%,47.3%,51.1%,58.2%
Lynnfield,21.7%,46.8%,32.3%,62.1%
Malden,34.4%,55.8%,57.6%,61.9%
Manchester,18.6%,Not Available,24.1%,25.0%
Mansfield,15.5%,16.7%,34.6%,50.7%
Marblehead,12.3%,19.0%,19.1%,45.5%
Marion,Not Available,27.7%,31.6%,Not Available
Marlborough,24.0%,27.3%,27.9%,40.1%
Marshfield,6.1%,12.5%,33.0%,37.1%
Mashpee,20.4%,17.6%,21.6%,45.3%
Mattapoisett,28.1%,20.8%,Not Available,58.9%
Maynard,7.3%,12.2%,21.4%,32.8%
Medfield,21.8%,19.4%,17.0%,35.3%
Medford,51.3%,57.1%,60.6%,58.6%
Medway,13.9%,20.8%,16.2%,32.9%
Melrose,27.5%,55.6%,54.6%,62.3%
Mendon,Not Available,24.2%,17.5%,41.7%
Merrimac,34.0%,26.1%,18.0%,51.3%
Methuen,45.3%,40.3%,34.3%,54.7%
Middleborough,22.5%,23.4%,39.2%,45.9%
Middlefield,Not Available,Not Available,Not Available,Not Available
Middleton,16.0%,27.5%,44.8%,42.9%
Milford,34.5%,32.0%,30.5%,53.0%
Millbury,41.5%,39.4%,35.9%,55.5%
Millis,Not Available,18.5%,Not Available,33.3%
Millville,27.3%,Not Available,Not Available,66.7%
Milton,18.3%,14.2%,33.9%,47.4%
Monroe,Not Available,Not Available,Not Available,Not Available
Monson,16.3%,Not Available,27.5%,51.6%
Montague,7.0%,12.9%,14.1%,62.2%
Monterey,Not Available,Not Available,Not Available,Not Available
Montgomery,Not Available,Not Available,Not Available,Not Available
Mountwashington,Not Available,Not Available,Not Available,Not Available
Nahant,25.8%,48.9%,44.4%,37.5%
Nantucket,9.1%,Not Available,Not Available,31.3%
Natick,16.5%,15.9%,24.1%,25.6%
Needham,10.0%,Not Available,21.2%,38.8%
Newashford,50.0%,Not Available,Not Available,Not Available
Newbedford,52.6%,42.7%,49.6%,61.1%
Newbraintree,Not Available,Not Available,Not Available,Not Available
Newbury,27.9%,40.0%,51.9%,47.6%
Newburyport,31.6%,24.5%,36.8%,54.7%
Newmarlborough,Not Available,32.1%,Not Available,35.3%
Newsalem,54.6%,Not Available,Not Available,80.0%
Newton,25.7%,27.1%,30.1%,51.5%
Norfolk,Not Available,22.5%,36.1%,45.3%
Northadams,5.1%,9.4%,15.3%,48.7%
Northampton,28.7%,26.3%,19.9%,46.9%
Northandover,32.6%,16.5%,31.4%,38.7%
Northattleborough,13.5%,14.0%,11.8%,42.9%
Northborough,13.1%,8.9%,18.4%,38.1%
Northbridge,23.8%,26.4%,37.3%,60.3%
Northbrookfield,30.2%,12.5%,19.7%,31.7%
Northfield,Not Available,27.3%,Not Available,36.4%
Northreading,31.9%,53.5%,46.9%,63.3%
Norton,28.0%,27.1%,34.6%,45.9%
Norwell,30.0%,37.3%,34.1%,50.0%
Norwood,17.1%,32.9%,47.5%,53.4%
Oakbluffs,20.0%,14.7%,21.0%,10.2%
Oakham,41.2%,30.8%,Not Available,20.6%
Orange,10.6%,14.6%,17.2%,41.1%
Orleans,13.2%,27.3%,22.7%,28.2%
Otis,Not Available,Not Available,43.5%,43.5%
Oxford,34.4%,27.2%,25.2%,46.9%
Palmer,11.2%,33.6%,32.5%,50.2%
Paxton,34.8%,Not Available,48.7%,35.3%
Peabody,24.0%,42.0%,41.6%,54.1%
Pelham,Not Available,Not Available,Not Available,69.2%
Pembroke,17.5%,17.3%,30.7%,51.1%
Pepperell,43.8%,58.4%,29.8%,56.0%
Peru,Not Available,Not Available,Not Available,Not Available
Petersham,Not Available,Not Available,Not Available,66.7%
Phillipston,33.3%,Not Available,Not Available,Not Available
Pittsfield,10.6%,16.5%,10.9%,29.8%
Plainfield,Not Available,Not Available,46.7%,75.0%
Plainville,22.2%,25.4%,17.7%,48.1%
Plymouth,20.1%,16.2%,36.9%,51.5%
Plympton,Not Available,15.9%,Not Available,64.0%
Princeton,Not Available,28.6%,Not Available,50.0%
Provincetown,21.7%,13.2%,Not Available,22.2%
Quincy,30.7%,35.8%,53.3%,59.1%
Randolph,23.9%,25.4%,42.5%,47.6%
Raynham,36.8%,24.2%,46.4%,45.3%
Reading,38.0%,54.4%,51.6%,58.5%
Rehoboth,14.3%,37.1%,31.4%,35.4%
Revere,51.2%,54.8%,61.4%,59.8%
Richmond,25.9%,Not Available,Not Available,40.0%
Rochester,32.4%,28.1%,Not Available,45.7%
Rockland,14.0%,20.7%,40.0%,62.5%
Rockport,25.0%,33.3%,31.9%,17.8%
Rowe,Not Available,Not Available,Not Available,Not Available
Rowley,Not Available,22.1%,33.3%,38.4%
Royalston,Not Available,Not Available,Not Available,Not Available
Russell,Not Available,Not Available,52.6%,Not Available
Rutland,20.5%,18.2%,37.5%,46.4%
Salem,20.0%,27.3%,32.0%,45.2%
Salisbury,44.9%,34.8%,46.4%,69.0%
Sandisfield,Not Available,50.0%,Not Available,Not Available
Sandwich,14.2%,12.9%,20.4%,32.4%
Saugus,43.0%,57.2%,55.0%,67.6%
Savoy,Not Available,Not Available,Not Available,Not Available
Scituate,18.9%,11.9%,29.0%,53.4%
Seekonk,28.6%,25.5%,25.0%,25.5%
Sharon,35.5%,18.0%,37.1%,26.5%
Sheffield,18.6%,Not Available,21.4%,33.3%
Shelburne,Not Available,Not Available,Not Available,51.4%
Sherborn,52.2%,40.9%,Not Available,Not Available
Shirley,12.1%,31.9%,50.0%,39.2%
Shrewsbury,35.1%,27.3%,29.0%,46.9%
Shutesbury,Not Available,Not Available,Not Available,75.0%
Somerset,45.1%,38.1%,44.2%,55.6%
Somerville,31.9%,46.5%,45.9%,57.0%
Southampton,17.0%,30.4%,23.2%,30.6%
Southborough,18.4%,16.2%,Not Available,38.0%
Southbridge,46.5%,47.8%,36.6%,37.3%
Southhadley,28.9%,30.0%,37.1%,49.0%
Southwick,13.1%,19.7%,19.2%,55.6%
