State/Muncipality,Primary Substance,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Massachusetts,Alcohol,41.4%,40.9%,40.6%,40.3%,39.4%,38.4%,38.0%,35.3%,33.6%,31.9%
Massachusetts,Marijuana,5.4%,5.7%,5.7%,6.1%,5.8%,5.3%,5.2%,4.5%,4.5%,4.0%
Massachusetts,None,0.2%,0.6%,0.6%,0.8%,0.2%,0.1%,0.2%,0.2%,0.4%,0.1%
Massachusetts,Opioids,43.8%,43.2%,43.2%,43.8%,46.7%,49.6%,50.2%,53.9%,56.2%,58.9%
Massachusetts,Other,9.0%,9.6%,9.9%,9.0%,8.0%,6.7%,6.4%,6.2%,5.4%,5.1%
Abington,Alcohol,38.7%,41.6%,30.8%,16.3%,17.7%,18.8%,16.9%,12.2%,12.5%,13.4%
Abington,Marijuana,4.0%,3.6%,4.1%,1.4%,1.3%,not available,not available,1.3%,not available,not available
Abington,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Abington,Opioids,48.5%,48.9%,58.9%,78.6%,78.2%,78.7%,80.3%,84.6%,84.7%,82.4%
Abington,Other,6.7%,4.1%,5.8%,2.7%,2.4%,1.1%,1.6%,1.1%,1.5%,3.4%
Acton,Alcohol,67.6%,67.5%,65.6%,57.4%,40.0%,54.3%,63.2%,52.0%,56.6%,36.5%
Acton,Marijuana,16.9%,8.8%,not available,not available,20.0%,not available,11.8%,11.8%,10.5%,18.8%
Acton,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Acton,Opioids,not available,20.0%,20.3%,21.3%,25.7%,not available,13.2%,32.3%,31.6%,43.5%
Acton,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Acushnet,Alcohol,38.7%,45.1%,32.6%,34.5%,46.2%,41.8%,38.3%,26.7%,36.8%,32.1%
Acushnet,Marijuana,not available,not available,not available,not available,not available,6.1%,not available,not available,not available,not available
Acushnet,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Acushnet,Opioids,48.4%,38.1%,52.2%,55.8%,45.3%,48.0%,57.5%,66.4%,57.9%,59.9%
Acushnet,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Adams,Alcohol,56.4%,51.1%,56.6%,56.0%,63.4%,50.3%,51.2%,47.8%,45.8%,41.1%
Adams,Marijuana,5.7%,7.7%,8.7%,7.5%,5.8%,10.2%,3.6%,5.8%,3.0%,not available
Adams,None,not available,6.6%,4.6%,6.3%,not available,not available,not available,not available,not available,not available
Adams,Opioids,13.6%,12.1%,17.9%,18.2%,13.4%,16.4%,16.7%,13.0%,14.8%,15.0%
Adams,Other,10.7%,6.6%,3.5%,4.4%,not available,3.4%,3.6%,not available,3.0%,not available
Agawam,Alcohol,41.7%,33.5%,34.2%,40.9%,36.5%,43.6%,44.1%,39.9%,35.9%,34.7%
Agawam,Marijuana,2.7%,4.8%,2.8%,4.5%,4.8%,3.0%,3.4%,2.7%,2.8%,3.0%
Agawam,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Agawam,Opioids,44.1%,50.5%,54.4%,46.9%,49.8%,49.1%,47.2%,49.2%,57.3%,58.0%
Agawam,Other,10.8%,9.8%,7.3%,7.7%,8.8%,3.6%,3.9%,8.3%,2.1%,4.2%
Alford,Alcohol,63.6%,not available,83.3%,88.0%,not available,not available,not available,not available,not available,not available
Alford,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Alford,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Alford,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Alford,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Amesbury,Alcohol,58.7%,59.0%,52.5%,55.5%,49.9%,50.6%,47.1%,54.4%,45.3%,32.6%
Amesbury,Marijuana,7.0%,7.1%,4.1%,4.0%,4.4%,5.3%,7.5%,4.2%,2.7%,5.2%
Amesbury,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Amesbury,Opioids,30.2%,23.0%,32.6%,30.8%,31.8%,38.0%,37.6%,34.9%,47.0%,58.0%
Amesbury,Other,not available,10.9%,8.6%,8.0%,14.0%,6.0%,7.8%,6.1%,3.0%,4.2%
Amherst,Alcohol,69.3%,67.3%,58.1%,66.1%,71.4%,70.4%,48.3%,58.8%,45.3%,43.9%
Amherst,Marijuana,9.2%,9.7%,13.3%,10.6%,9.5%,7.4%,not available,not available,not available,not available
Amherst,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Amherst,Opioids,14.5%,14.6%,19.1%,12.7%,9.5%,17.1%,43.1%,35.1%,46.9%,47.7%
