"Medicare Part B Drug Spending and Utilization, Calendar Years 2013 - 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Calendar Year 2013,,,,,,,Calendar Year 2014,,,,,,,Calendar Year 2015,,,,,,,Calendar Year 2016,,,,,,,Calendar Year 2017,,,,,,,,Yearly Change  ,
Medicare Billing Code (HCPCS Code),Drug Description,Brand Name,Generic Name,2013 Total Spending,2013 Total Dosage Units,2013 Total Claims,2013 Total Beneficiaries,2013 Average Spending Per Dosage Unit,2013 Average Spending Per Claim,2013 Average Spending Per Beneficiary,2014 Total Spending,2014 Total Dosage Units,2014 Total Claims,2014 Total Beneficiaries,2014 Average Spending Per Dosage Unit,2014 Average Spending Per Claim,2014 Average Spending Per Beneficiary,2015 Total Spending,2015 Total Dosage Units,2015 Total Claims,2015 Total Beneficiaries,2015 Average Spending Per Dosage Unit,2015 Average Spending Per Claim,2015 Average Spending Per Beneficiary,2016 Total Spending,2016 Total Dosage Units,2016 Total Claims,2016 Total Beneficiaries,2016 Average Spending Per Dosage Unit,2016 Average Spending Per Claim,2016 Average Spending Per Beneficiary,2017 Total Spending,2017 Total Dosage Units,2017 Total Claims,2017 Total Beneficiaries,2017 Average Spending Per Dosage Unit,2017 Average Spending Per Claim,2017 Average Spending Per Beneficiary,2017 Average Sales Price,Change in Average Spending Per Dosage Unit (2016-2017),Annual Growth Rate in Average Spending Per Dosage Unit  (2013-2017)
90371,Hepatitis B immune globulin for injection into muscle,HyperHEP B S-D*,Hepatitis B Immune Globulin*,"$286,634","2,708",709,228,$105.85,$404.28,"$1,257.17","$235,830","2,101",633,196,$112.25,$372.56,"$1,203.21","$257,669","2,316",620,192,$111.26,$415.59,"$1,342.03","$236,577","2,143",506,160,$110.40,$467.54,"$1,478.60","$261,132","2,408",405,167,$108.44,$644.77,"$1,563.67",$113.48,-1.77%,0.61%
90375,Rabies immune globulin for injection beneath the skin and/or into muscle,HyperRAB S-D,Rabies Immune Globulin/PF,"$2,682,515","12,823","2,147","2,077",$209.20,"$1,249.42","$1,291.53","$3,715,138","16,169","2,292","2,227",$229.77,"$1,620.92","$1,668.23","$4,500,236","18,119","2,355","2,283",$248.37,"$1,910.93","$1,971.19","$5,715,355","20,332","2,586","2,534",$281.10,"$2,210.11","$2,255.47","$6,931,941","24,181","2,757","2,732",$286.67,"$2,514.31","$2,537.31",$295.05,1.98%,8.19%
90376,Rabies immune globulin for injection beneath the skin and/or into muscle,Imogam Rabies-HT,Rabies Immune Globulin/PF,"$1,139,826","5,534",806,790,$205.97,"$1,414.18","$1,442.82","$1,582,031","7,155",922,906,$221.11,"$1,715.87","$1,746.17","$1,545,790","6,400",817,805,$241.53,"$1,892.03","$1,920.24","$1,645,103","6,085",796,786,$270.35,"$2,066.71","$2,093.01","$2,012,949","6,795",779,775,$296.24,"$2,584.02","$2,597.35",$305.99,9.57%,9.51%
90586,Vaccine for bladder cancer injection into urinary bladder,BCG (Tice Strain) (90586)*,BCG Live*,"$24,167",207,207,49,$116.75,$116.75,$493.21,"$42,946",361,337,62,$118.96,$127.44,$692.68,"$37,326",312,308,71,$119.64,$121.19,$525.72,"$25,991",214,204,54,$121.45,$127.41,$481.31,"$6,871",60,60,18,$114.52,$114.52,$381.72,$128.83,-5.71%,-0.48%
90630,Vaccine for influenza for injection into skin,Vaccine Influenza Injection Skin (Fluzone)**, , , , , , , , , , , , , , , ,"$311,352","13,544","13,544","13,531",$22.99,$22.99,$23.01,"$634,578","30,857","30,852","30,613",$20.57,$20.57,$20.73,"$534,348","26,508","26,502","26,286",$20.16,$20.16,$20.33,$20.34,-1.98%,-6.36%
90632,"Vaccine for Hepatitis A injection into muscle, adult dosage",Havrix*,Hepatitis A Virus Vaccine/PF*,"$27,531",605,605,545,$45.51,$45.51,$50.51,"$14,469",275,274,249,$52.61,$52.81,$58.11,"$13,487",272,272,252,$49.58,$49.58,$53.52,"$11,853",230,230,216,$51.53,$51.53,$54.88,"$21,346",430,430,409,$49.64,$49.64,$52.19,$52.69,-3.67%,2.20%
90653,Vaccine for influenza for injection into muscle,Vaccine Influenza Injection Muscle (Fluad)**, ,$364,23,23,23,$15.81,$15.81,$15.81, , , , , , , ,$914,39,39,39,$23.44,$23.44,$23.44,"$13,672,667","377,465","377,427","377,327",$36.22,$36.23,$36.24,"$68,005,093","1,509,541","1,509,532","1,503,192",$45.05,$45.05,$45.24,$40.59,24.37%,29.93%
90656,"Vaccine for influenza for administration into muscle, 0.5 ml dosage","Vaccine Influenza Injection Muscle (Fluvirin), Age 3+ Years**", ,"$27,672,340","2,254,721","2,241,424","2,214,365",$12.27,$12.35,$12.50,"$24,276,427","1,787,417","1,786,939","1,764,154",$13.58,$13.59,$13.76,"$14,782,143","1,165,986","1,064,913","1,057,111",$12.68,$13.88,$13.98,"$11,750,222","709,711","708,658","703,083",$16.56,$16.58,$16.71,"$6,620,136","380,320","380,116","376,739",$17.41,$17.42,$17.57,$18.10,5.14%,9.13%
90662,Vaccine for influenza for injection into muscle,Vaccine Influenza Injection Muscle (Fluzone High-Dose)**, ,"$114,365,026","3,768,169","3,768,108","3,715,592",$30.35,$30.35,$30.78,"$173,891,863","5,525,887","5,514,762","5,458,191",$31.47,$31.53,$31.86,"$249,314,562","7,223,391","7,223,229","7,184,474",$34.51,$34.52,$34.70,"$332,579,408","8,480,768","8,470,237","8,380,754",$39.22,$39.26,$39.68,"$395,145,719","8,946,913","8,929,660","8,788,267",$44.17,$44.25,$44.96,$44.30,12.62%,9.83%
