Year,Age Range,Number of Deaths
1999,0-24,639
1999,25-34,1664
1999,35-44,3238
1999,45-54,1985
1999,55+,518
1999,Total,8050
2000,0-24,759
2000,25-34,1640
2000,35-44,3277
2000,45-54,2183
2000,55+,538
2000,Total,8407
2001,0-24,981
2001,25-34,1755
2001,35-44,3504
2001,45-54,2580
2001,55+,669
2001,Total,9496
2002,0-24,1221
2002,25-34,2209
2002,35-44,4228
2002,45-54,3359
2002,55+,896
2002,Total,11913
2003,0-24,1441
2003,25-34,2415
2003,35-44,4230
2003,45-54,3757
2003,55+,1094
2003,Total,12940
2004,0-24,1652
2004,25-34,2573
2004,35-44,4229
2004,45-54,4001
2004,55+,1297
2004,Total,13756
2005,0-24,1737
2005,25-34,2910
2005,35-44,4176
2005,45-54,4537
2005,55+,1557
2005,Total,14910
2006,0-24,2159
2006,25-34,3530
2006,35-44,4658
2006,45-54,5294
2006,55+,1899
2006,Total,17541
2007,0-24,2255
2007,25-34,3818
2007,35-44,4696
2007,45-54,5475
2007,55+,2270
2007,Total,18516
2008,0-24,2376
2008,25-34,4026
2008,35-44,4713
2008,45-54,5874
2008,55+,2592
2008,Total,19582
2009,0-24,2289
2009,25-34,4360
2009,35-44,4704
2009,45-54,6022
2009,55+,3045
2009,Total,20422
2010,0-24,2464
2010,25-34,4675
2010,35-44,4761
2010,45-54,5941
2010,55+,3247
2010,Total,21089
2011,0-24,2616
2011,25-34,5284
2011,35-44,5056
2011,45-54,6258
2011,55+,3566
2011,Total,22784
2012,0-24,2410
2012,25-34,5419
2012,35-44,5086
2012,45-54,6299
2012,55+,3950
2012,Total,23157
2013,0-24,2545
2013,25-34,5911
2013,35-44,5389
2013,45-54,6469
2013,55+,4735
2013,Total,25052
2014,0-24,2770
2014,25-34,7028
2014,35-44,6338
2014,45-54,6987
2014,55+,5522
2014,Total,28647
2015,0-24,3165
2015,25-34,8568
2015,35-44,7484
2015,45-54,7595
2015,55+,6277
2015,Total,33091
2016,0-24,4110
2016,25-34,N/A
2016,35-44,9747
2016,45-54,9074
2016,55+,N/A
2016,Total,42249
2017,0-24,4173
2017,25-34,13181
2017,35-44,11149
2017,45-54,10207
2017,55+,8877
2017,Total,47600
2018,0-24,3683
2018,25-34,N/A
2018,35-44,11414
2018,45-54,9565
2018,55+,9290
2018,Total,46802
