Notes,State,State Code,UCD - Drug/Alcohol Induced,UCD - Drug/Alcohol Induced Code,Year,Year Code,Deaths,Population,Crude Rate
,Alabama,1,Drug-induced causes,D,1999,1999,195,4430141,4.4
,Alabama,1,Drug-induced causes,D,2000,2000,232,4447100,5.2
,Alabama,1,Drug-induced causes,D,2001,2001,253,4467634,5.7
,Alabama,1,Drug-induced causes,D,2002,2002,248,4480089,5.5
,Alabama,1,Drug-induced causes,D,2003,2003,255,4503491,5.7
,Alabama,1,Drug-induced causes,D,2004,2004,327,4530729,7.2
,Alabama,1,Drug-induced causes,D,2005,2005,332,4569805,7.3
,Alabama,1,Drug-induced causes,D,2006,2006,466,4628981,10.1
,Alabama,1,Drug-induced causes,D,2007,2007,554,4672840,11.9
,Alabama,1,Drug-induced causes,D,2008,2008,646,4718206,13.7
,Alabama,1,Drug-induced causes,D,2009,2009,688,4757938,14.5
,Alabama,1,Drug-induced causes,D,2010,2010,585,4779736,12.2
,Alabama,1,Drug-induced causes,D,2011,2011,605,4802740,12.6
,Alabama,1,Drug-induced causes,D,2012,2012,632,4822023,13.1
,Alabama,1,Drug-induced causes,D,2013,2013,648,4833722,13.4
,Alabama,1,Drug-induced causes,D,2014,2014,800,4849377,16.5
,Alabama,1,Drug-induced causes,D,2015,2015,810,4858979,16.7
,Alabama,1,Drug-induced causes,D,2016,2016,855,4863300,17.6
,Alabama,1,Drug-induced causes,D,2017,2017,960,4874747,19.7
,Alabama,1,Drug-induced causes,D,2018,2018,895,4887871,18.3
,Alabama,1,Alcohol-induced causes,A,2007,2007,15,4672840,Unreliable
,Alabama,1,Alcohol-induced causes,A,2008,2008,10,4718206,Unreliable
,Alabama,1,Alcohol-induced causes,A,2009,2009,10,4757938,Unreliable
,Alabama,1,Alcohol-induced causes,A,2010,2010,13,4779736,Unreliable
,Alabama,1,Alcohol-induced causes,A,2012,2012,10,4822023,Unreliable
,Alabama,1,Alcohol-induced causes,A,2013,2013,12,4833722,Unreliable
,Alabama,1,Alcohol-induced causes,A,2014,2014,12,4849377,Unreliable
,Alabama,1,Alcohol-induced causes,A,2015,2015,14,4858979,Unreliable
,Alabama,1,Alcohol-induced causes,A,2016,2016,45,4863300,0.9
,Alabama,1,Alcohol-induced causes,A,2017,2017,49,4874747,1
,Alabama,1,Alcohol-induced causes,A,2018,2018,45,4887871,0.9
,Alabama,1,All other non-drug and non-alcohol causes,O,1999,1999,128,4430141,2.9
,Alabama,1,All other non-drug and non-alcohol causes,O,2000,2000,232,4447100,5.2
,Alabama,1,All other non-drug and non-alcohol causes,O,2001,2001,280,4467634,6.3
,Alabama,1,All other non-drug and non-alcohol causes,O,2002,2002,240,4480089,5.4
,Alabama,1,All other non-drug and non-alcohol causes,O,2003,2003,255,4503491,5.7
,Alabama,1,All other non-drug and non-alcohol causes,O,2004,2004,308,4530729,6.8
,Alabama,1,All other non-drug and non-alcohol causes,O,2005,2005,337,4569805,7.4
,Alabama,1,All other non-drug and non-alcohol causes,O,2006,2006,359,4628981,7.8
,Alabama,1,All other non-drug and non-alcohol causes,O,2007,2007,409,4672840,8.8
,Alabama,1,All other non-drug and non-alcohol causes,O,2008,2008,342,4718206,7.2
,Alabama,1,All other non-drug and non-alcohol causes,O,2009,2009,406,4757938,8.5
,Alabama,1,All other non-drug and non-alcohol causes,O,2010,2010,414,4779736,8.7
,Alabama,1,All other non-drug and non-alcohol causes,O,2011,2011,464,4802740,9.7
,Alabama,1,All other non-drug and non-alcohol causes,O,2012,2012,500,4822023,10.4
,Alabama,1,All other non-drug and non-alcohol causes,O,2013,2013,507,4833722,10.5
,Alabama,1,All other non-drug and non-alcohol causes,O,2014,2014,505,4849377,10.4
,Alabama,1,All other non-drug and non-alcohol causes,O,2015,2015,562,4858979,11.6
,Alabama,1,All other non-drug and non-alcohol causes,O,2016,2016,3789,4863300,77.9
,Alabama,1,All other non-drug and non-alcohol causes,O,2017,2017,3987,4874747,81.8
,Alabama,1,All other non-drug and non-alcohol causes,O,2018,2018,4043,4887871,82.7
,Alaska,2,Drug-induced causes,D,1999,1999,56,624779,9
,Alaska,2,Drug-induced causes,D,2000,2000,54,626932,8.6
,Alaska,2,Drug-induced causes,D,2001,2001,72,633714,11.4
,Alaska,2,Drug-induced causes,D,2002,2002,85,642337,13.2
,Alaska,2,Drug-induced causes,D,2003,2003,86,648414,13.3
,Alaska,2,Drug-induced causes,D,2004,2004,92,659286,14
,Alaska,2,Drug-induced causes,D,2005,2005,85,666946,12.7
,Alaska,2,Drug-induced causes,D,2006,2006,85,675302,12.6
,Alaska,2,Drug-induced causes,D,2007,2007,75,680300,11
,Alaska,2,Drug-induced causes,D,2008,2008,132,687455,19.2
,Alaska,2,Drug-induced causes,D,2009,2009,133,698895,19
,Alaska,2,Drug-induced causes,D,2010,2010,84,710231,11.8
,Alaska,2,Drug-induced causes,D,2011,2011,107,722718,14.8
,Alaska,2,Drug-induced causes,D,2012,2012,132,731449,18
,Alaska,2,Drug-induced causes,D,2013,2013,110,735132,15
,Alaska,2,Drug-induced causes,D,2014,2014,127,736732,17.2
,Alaska,2,Drug-induced causes,D,2015,2015,127,738432,17.2
,Alaska,2,Drug-induced causes,D,2016,2016,138,741894,18.6
,Alaska,2,Drug-induced causes,D,2017,2017,158,739795,21.4
,Alaska,2,Drug-induced causes,D,2018,2018,119,737438,16.1
,Alaska,2,Alcohol-induced causes,A,2014,2014,13,736732,Unreliable
,Alaska,2,Alcohol-induced causes,A,2015,2015,18,738432,Unreliable
,Alaska,2,Alcohol-induced causes,A,2016,2016,26,741894,3.5
,Alaska,2,Alcohol-induced causes,A,2017,2017,28,739795,3.8
,Alaska,2,Alcohol-induced causes,A,2018,2018,33,737438,4.5
,Alaska,2,All other non-drug and non-alcohol causes,O,1999,1999,58,624779,9.3
,Alaska,2,All other non-drug and non-alcohol causes,O,2000,2000,67,626932,10.7
,Alaska,2,All other non-drug and non-alcohol causes,O,2001,2001,71,633714,11.2
,Alaska,2,All other non-drug and non-alcohol causes,O,2002,2002,55,642337,8.6
,Alaska,2,All other non-drug and non-alcohol causes,O,2003,2003,62,648414,9.6
,Alaska,2,All other non-drug and non-alcohol causes,O,2004,2004,63,659286,9.6
,Alaska,2,All other non-drug and non-alcohol causes,O,2005,2005,74,666946,11.1
,Alaska,2,All other non-drug and non-alcohol causes,O,2006,2006,74,675302,11
,Alaska,2,All other non-drug and non-alcohol causes,O,2007,2007,91,680300,13.4
,Alaska,2,All other non-drug and non-alcohol causes,O,2008,2008,112,687455,16.3
,Alaska,2,All other non-drug and non-alcohol causes,O,2009,2009,91,698895,13
,Alaska,2,All other non-drug and non-alcohol causes,O,2010,2010,99,710231,13.9
,Alaska,2,All other non-drug and non-alcohol causes,O,2011,2011,106,722718,14.7
,Alaska,2,All other non-drug and non-alcohol causes,O,2012,2012,99,731449,13.5
,Alaska,2,All other non-drug and non-alcohol causes,O,2013,2013,91,735132,12.4
,Alaska,2,All other non-drug and non-alcohol causes,O,2014,2014,615,736732,83.5
,Alaska,2,All other non-drug and non-alcohol causes,O,2015,2015,741,738432,100.3
