Geography,Year,"Age-Adjusted Opioid-Related Death Rate per 100,000 People"
Massachusetts,1999,5
United States,1999,Not Available
Massachusetts,2000,5.8
United States,2000,3.6
Massachusetts,2001,7.7
United States,2001,4
Massachusetts,2002,8
United States,2002,4.9
Massachusetts,2003,9.4
United States,2003,5.4
Massachusetts,2004,7.9
United States,2004,5.7
Massachusetts,2005,8.8
United States,2005,6.2
Massachusetts,2006,10
United States,2006,7.3
Massachusetts,2007,9.7
United States,2007,7.3
Massachusetts,2008,9.4
United States,2008,7.2
Massachusetts,2009,9.4
United States,2009,7.3
Massachusetts,2010,8.5
United States,2010,7.5
Massachusetts,2011,9.9
United States,2011,8
Massachusetts,2012,11.1
United States,2012,8
Massachusetts,2013,14.4
United States,2013,8.6
Massachusetts,2014,19.9
United States,2014,9.7
Massachusetts,2015,23.3
United States,2015,Not Available
