Municipality,Confirmed Opioid Related Death Count 2001-2005,"Annual Opioid-Related Death Rate per 100,000 People from 2001-2005",Confirmed Opioid Related Death Count 2006-2010,"Annual Opioid-Related Death Rate  per 100,000 People from 2006-2010",Confirmed Opioid Related Death Count 2011-2015,"Annual Opioid-Related Death Rate  per 100,000 People from 2011-2015"
Abington,5,6.7,10,12.3,13,16.3
Acton,1,1,2,1.9,11,10
Acushnet,1,2,3,5.7,5,9.7
Adams,2,4.6,4,9.5,8,18.9
Agawam,7,5,14,9.8,18,12.7
Alford,0,0,0,0,0,0
Amesbury,6,7.3,4,4.8,12,14.7
Amherst,4,2.3,4,2.3,6,3.2
Andover,2,1.3,5,3,17,10.2
Arlington,11,5.2,16,7.7,24,11.2
Ashburnham,0,0,2,6.7,2,6.6
Ashby,1,7,1,6.8,1,6.5
Ashfield,1,11.1,1,11.1,1,11.5
Ashland,4,5.4,5,6.4,8,9.6
Athol,9,15.8,4,6.9,10,17.3
Attleboro,17,8,22,10.1,45,20.6
Auburn,2,2.5,5,6.1,10,12.4
Avon,1,4.5,3,13.8,10,45.9
Ayer,4,11,4,11,4,10.8
Barnstable,21,8.8,28,11.8,42,18.6
Barre,0,0,3,11.2,4,14.8
Becket,0,0,0,0,1,11.2
Bedford,3,4.8,4,6.3,5,7.5
Belchertown,3,4.6,4,5.7,9,12.3
Bellingham,5,6.5,9,11.4,11,13.5
Belmont,3,2.5,1,0.8,7,5.7
Berkley,3,10.2,2,6.3,5,15.6
Berlin,0,0,2,14.7,1,7
Bernardston,0,0,0,0,4,37.6
Beverly,14,7,14,7,35,17.7
Billerica,16,8.2,20,10,28,13.9
Blackstone,4,9,1,2.2,4,8.9
Blandford,0,0,0,0,1,16.2
Bolton,0,0,1,4.4,2,8.2
Boston,339,11.6,349,12.2,468,15.2
Bourne,3,3.2,11,11.3,21,21.3
Boxborough,0,0,0,0,0,0
Boxford,0,0,1,2.5,3,7.5
Boylston,1,4.9,0,0,2,9.2
Braintree,9,5.3,14,8.2,26,14.6
Brewster,3,5.9,4,7.9,3,6.1
Bridgewater,8,6.3,10,7.7,26,19.6
Brimfield,1,5.9,0,0,1,5.5
Brockton,50,10.5,68,13.7,118,25.2
Brookfield,2,13.1,0,0,3,17.7
Brookline,7,2.5,6,2.1,7,2.4
Buckland,0,0,1,10.1,2,21.1
Burlington,6,5.2,6,5.1,13,10.6
Cambridge,36,7.1,20,3.9,33,6.3
Canton,8,7.6,7,6.5,17,15.8
Carlisle,2,8.4,1,4.1,0,0
Carver,5,8.9,5,8.7,20,34.8
Charlemont,0,0,1,14.7,0,0
Charlton,2,3.5,7,11.2,5,7.7
Chatham,1,3,3,9,2,6.5
Chelmsford,2,1.2,9,5.3,14,8.3
Chelsea,33,18.9,22,12.8,39,22.2
Cheshire,0,0,0,0,0,0
Chester,0,0,0,0,0,0
Chicopee,28,10.2,34,12.4,48,17.4
Chesterfield,0,0,1,15.9,0,0
Chilmark,0,0,0,0,1,23.1
Clarksburg,1,11.9,0,0,2,23.5
Clinton,4,5.9,10,14.4,18,26.5
Cohasset,2,5.5,2,5.5,3,8
Colrain,0,0,0,0,0,0
Concord,2,2.4,3,3.5,1,1.1
Conway,0,0,0,0,0,0
Cummington,2,N/A,0,0,0,0
Dalton,0,0,1,3,2,5.9
Danvers,10,7.9,10,7.7,21,15.9
Dartmouth,16,10.4,12,7.5,18,10.6
Dedham,7,6,16,13.4,14,11.3
Deerfield,0,0,0,0,1,3.9
Dennis,9,11.3,14,18,16,22.5
Dighton,1,3.2,2,5.9,1,2.8
Douglas,4,11.1,2,5,5,11.8
Dover,0,0,0,0,0,0
Dracut,9,6.3,15,10.4,25,17
Dudley,2,3.9,5,9.2,6,10.5
Dunstable,0,0,2,12.7,2,12.6
Duxbury,1,1.4,2,2.7,6,8
East Bridgewater,5,7.6,9,13,8,11.6
East Brookfield,0,0,1,9.4,0,0
East Longmeadow,7,9.8,4,5.3,13,16.5
Eastham,0,0,2,7.4,9,36.3
Easthampton,7,8.8,11,13.7,12,15
Easton,4,3.6,2,1.7,16,13.8
Edgartown,2,10.5,0,0,0,0
Egremont,1,14.9,0,0,0,0
Erving,0,0,1,12.6,1,11.1
Essex,0,0,1,5.9,2,11.4
Everett,35,18.5,27,14.2,68,32.6
Fairhaven,10,12.4,18,22.3,14,17.6
Fall River,112,24.4,116,25.4,155,34.9
Falmouth,13,7.9,18,10.8,34,21.6
Fitchburg,29,14.7,30,14.8,48,23.8
Florida,0,0,0,0,0,0
Foxborough,4,4.9,7,8.5,5,5.9
Framingham,26,7.8,24,7.3,36,10.5
Franklin,8,5.4,9,5.8,17,10.7
Freetown,1,2.3,0,0,9,20.3
Gardner,14,13.5,10,9.6,18,17.8
Aquinnah,0,0,0,0,2,N/A
Georgetown,0,0,3,7.4,5,12.2
Gill,0,0,0,0,2,26.7
Gloucester,28,18.4,16,10.6,31,21.5
Goshen,0,0,0,0,1,19
Gosnold,0,0,0,0,0,0
Grafton,3,3.9,5,5.9,8,9
Granby,0,0,1,3.2,6,19.2
Granville,3,N/A,0,0,0,0
Great Barrington,0,0,0,0,3,8.4
Greenfield,7,7.7,6,6.7,22,25.2
Groton,1,2.1,5,9.6,3,5.6
